UserID,JobID,Event,Date,Month
698,1053272,viewed,2023-08-16,8
698,535105,viewed,2023-05-30,5
698,171400,viewed,2023-10-07,10
698,804823,viewed,2023-09-11,9
698,1113149,viewed,2023-04-22,4
2305,573231,viewed,2023-10-23,10
2305,173609,viewed,2023-08-18,8
2305,758183,viewed,2023-01-13,1
2305,796649,viewed,2023-10-17,10
2305,863240,viewed,2023-05-19,5
3406,681893,viewed,2023-10-16,10
3406,299908,viewed,2023-09-16,9
3406,1061320,viewed,2023-01-05,1
3406,615722,viewed,2023-01-31,1
3406,97771,viewed,2023-10-25,10
4182,871285,viewed,2023-03-30,3
4182,156625,viewed,2023-05-23,5
4182,582282,viewed,2023-03-25,3
4182,970087,viewed,2023-08-16,8
4182,535053,viewed,2023-07-07,7
4768,959395,viewed,2023-03-23,3
4768,479978,viewed,2023-06-24,6
4768,772931,viewed,2023-02-05,2
4768,136804,viewed,2023-03-04,3
4768,898791,viewed,2023-03-04,3
5080,201624,viewed,2023-10-31,10
5080,35995,viewed,2023-06-05,6
5080,523402,viewed,2023-11-04,11
5080,265386,viewed,2023-02-01,2
5080,900555,viewed,2023-09-24,9
5954,268576,viewed,2023-08-28,8
5954,865009,viewed,2023-07-17,7
5954,963081,viewed,2023-07-06,7
5954,212090,viewed,2023-10-31,10
5954,452135,viewed,2023-09-20,9
7834,118994,viewed,2023-04-19,4
7834,796,viewed,2023-09-07,9
7834,300776,viewed,2023-04-24,4
7834,951701,viewed,2023-05-02,5
7834,1104317,viewed,2023-10-28,10
8137,452147,viewed,2023-02-19,2
8137,14391,viewed,2023-06-22,6
8137,1032351,viewed,2023-10-23,10
8137,458789,viewed,2023-03-13,3
8137,222314,viewed,2023-04-09,4
9157,1009301,viewed,2023-07-29,7
9157,54750,viewed,2023-10-09,10
9157,910645,viewed,2023-06-10,6
9157,299233,viewed,2023-03-08,3
9157,330325,viewed,2023-09-12,9
9884,876782,viewed,2023-11-16,11
9884,364686,viewed,2023-06-09,6
9884,279238,viewed,2023-11-16,11
9884,554639,viewed,2023-11-24,11
9884,386591,viewed,2023-10-20,10
10370,512227,viewed,2023-04-23,4
