UserID,Sequence,JobTitle,JobCategoryID
23,1,manager,0
23,2,assisting customers,30
698,1,advocate bromenn,88
698,2,customer service patient contact drawing blood,135
698,3,customer service suggestive selling,1
698,4,customer service retail,77
2305,1,stakeholder participation board member,103
2305,2,project coordinator,27
2305,3,life accident and health insurance licensed,180
2305,4,project coordinator,27
2785,1,volunteer,115
2785,2,staff,59
2785,3,consultative sales associate the great indoors,154
2785,4,business development manager,58
2785,5,executive relations contract,153
2785,6,event coordinator,196
3406,1,office supervisor,24
3406,2,operations manager,34
3406,3,programming supervisor master scheduler,6
5080,1,electrician instrument and control technician,188
5080,2,maintenance mechanic,89
10562,1,management over kitchen and bath and key holder,17
10562,2,retail sales representative book keeper,77
11060,1,head,157
11060,2,marketing analyst,23
11060,3,patrol partnership mgmt,0
11060,4,hp advantage program coordinator,76
11060,5,territory manager,0
11400,2,vice president marketing communications,29
11400,3,manager corporate development and strategy,174
11400,4,global head,157
11400,6,knowledge manager,0
11400,7,cma competitive intelligence analyst,9
11400,9,competitive intelligence analyst,9
12924,1,substitute teacher,40
12924,2,customer service sales representative,1
12924,3,homemaker,0
12924,4,homemaker,0
13552,1,executive motor cars,26
13552,2,mri technician,5
13552,3,general manager,35
13552,4,unit secretary,104
13552,5,mri technician intern,36
14744,1,ipc trainer,140
14744,2,sales product manager,102
14744,3,project manager imo,27
14744,4,marketing manager,23
14980,1,cashier linens sales associate,154
14980,2,cashier sales associate,154
14980,3,collections representative,109
14980,4,cashier shift manager,120
16003,1,certified nursing assistant cna,130
16003,2,nurse aide seasonal teacher aide,106
16003,3,nursing records clerk,197
16003,4,activities aide certified nursing assistant cna,130
16003,5,certified nursing assistant cna,130
16003,6,store clerk,68
16003,7,nurse aide seasonal,106
18111,1,regional director of sales,118
18111,2,adjunct professor,0
18111,3,director of association sales,12
18111,4,sr sales manager,90
18111,5,program director,76
18111,6,senior sales manager,90
18111,7,sales manager,90
18947,1,receiving supervisor operations,65
18947,2,lead set up operations,34
18947,3,shipping supervisor,66
18947,4,production lead,43
18947,5,shipping supervisor,66
18947,6,production lead,43
20703,1,logistics risk management,17
20703,2,store manager,68
20703,3,sgt team leader,33
20976,1,curtsey desk associate,56
20976,2,store manager cashier,68
20976,3,teller supervisor,138
20976,4,data encoder,18
20976,5,qa tester,8
21412,1,traffic control aide,106
21412,2,security receptionist officer,54
21412,3,internal mailroom clerk,13
21412,4,telephone sales representative,16
21412,5,sales associate,154
