UserID,City,State,Country,ZipCode,DegreeType,Major,GraduationDate,WorkHistoryCount,TotalYearsExperience,CurrentlyEmployed,ManagedOthers,ManagedHowMany,MajorCategoryID,Degree
23,Mount Prospect,IL,US,60056,High School,not applicable,2002-01-01,3,10.0,Yes,No,0,0.0,high school
698,Normal,IL,US,61761,Unknown,unknown,2000-01-01,4,7.0,Yes,No,0,-1.0,unknown
2305,Lake Forest,IL,US,60045,Unknown,insurance,2010-12-01,4,9.0,Yes,No,0,180.0,unknown
2785,Chicago,IL,US,60607,Bachelor's,international affairs,2005-01-01,6,10.0,Yes,No,0,191.0,bachelor s
3406,Joliet,IL,US,60435,Bachelor's,english,2000-01-01,3,20.0,No,Yes,350,40.0,bachelor s
5080,Jerseyville,IL,US,62052,Associate's,technology,1997-01-01,2,15.0,Unknown,No,0,128.0,associate s
9157,Gurnee,IL,US,60031,Unknown,unknown,2000-01-01,0,11.0,Unknown,No,0,-1.0,unknown
10562,Montgomery,IL,US,60538,Associate's,general education,2008-01-01,2,6.0,Yes,No,0,131.0,associate s
11060,Oak Brook,IL,US,60523,Bachelor's,computer engineering general,1991-01-01,6,17.0,No,No,0,110.0,bachelor s
11400,Chicago,IL,US,60614,Bachelor's,history research intelligence analysis program and political science,1999-01-01,10,13.0,Yes,No,0,98.0,bachelor s
13552,Morton Grove,IL,US,60053,Associate's,biology,2010-07-01,5,3.0,Unknown,No,0,0.0,associate s
14744,Schaumburg,IL,US,60194,Bachelor's,fine arts,2005-01-01,3,7.0,No,Yes,10,111.0,bachelor s
14980,Midlothian,IL,US,60445,High School,not applicable,1998-01-01,4,9.0,Yes,Yes,20,0.0,high school
16003,Hazel Crest,IL,US,60429,High School,business administration,2006-06-01,7,7.0,Yes,No,0,80.0,high school
18111,Chicago,IL,US,60601,Master's,marketing,1998-01-01,7,16.0,Yes,No,0,23.0,master s
20703,Edwardsville,IL,US,62025,Master's,unknown,2000-01-01,3,11.0,Unknown,No,0,-1.0,master s
21727,Lacon,IL,US,61540,Bachelor's,business,1999-01-01,6,15.0,No,Yes,100,21.0,bachelor s
24751,River Forest,IL,US,60305,Bachelor's,criminal justice,2004-08-01,6,5.0,Unknown,No,0,111.0,bachelor s
26741,Chicago Heights,IL,US,60411,Bachelor's,health administration,2012-05-01,4,10.0,Yes,No,0,63.0,bachelor s
27754,Chicago,IL,US,60659,Associate's,science,2012-01-01,3,7.0,Yes,Yes,4,98.0,associate s
27813,Grayslake,IL,US,60030,Unknown,various accounting computer programming spanich,1990-06-01,3,46.0,Yes,No,0,110.0,unknown
29566,Chicago,IL,US,60620,Master's,urban studies,2000-01-01,4,23.0,No,Yes,5,117.0,master s
31058,New Lenox,IL,US,60451,Unknown,business administration program,2009-09-01,4,10.0,Yes,No,0,80.0,unknown
32423,Chicago,IL,US,60657,Unknown,unknown,2000-01-01,1,17.0,Yes,No,0,-1.0,unknown
33994,Buffalo Grove,IL,US,60089,Unknown,interrogation,2012-04-01,5,20.0,Unknown,No,0,0.0,unknown
37690,Belleville,IL,US,62220,High School,unknown,1975-09-01,2,17.0,No,Yes,10,-1.0,high school
37891,Chicago,IL,US,60632,Unknown,unknown,2000-01-01,3,8.0,Unknown,No,0,-1.0,unknown
38435,Plainfield,IL,US,60586,High School,not applicable,2007-01-01,2,3.0,No,Yes,10,0.0,high school
40059,Arlington Heights,IL,US,60005,Bachelor's,music composition,2009-01-01,7,21.0,No,No,0,0.0,bachelor s
41791,Oak Forest,IL,US,60452,High School,not applicable,1982-06-01,10,27.0,Yes,No,0,0.0,high school
44505,Berwyn,IL,US,60402,Unknown,business administration,2000-01-01,6,16.0,Unknown,No,0,80.0,unknown
48439,Chicago,IL,US,60616,Bachelor's,communications management,2000-01-01,2,8.0,Yes,No,0,124.0,bachelor s
52512,Lawrenceville,IL,US,62439,High School,anatomy biology and world studies,2000-01-01,0,11.0,No,No,0,117.0,high school
53013,Crestwood,IL,US,60445,PhD,none,2001-05-01,2,10.0,Yes,No,0,0.0,phd
59192,Joliet,IL,US,60436,High School,not applicable,2000-01-01,5,15.0,Yes,No,0,0.0,high school
63254,Deerfield,IL,US,60015,Bachelor's,history general,1977-05-01,4,31.0,No,No,0,35.0,bachelor s
64557,Chicago,IL,US,60617,High School,not applicable,1993-06-01,6,12.0,Yes,Yes,5,0.0,high school
67240,Elburn,IL,US,60119,Unknown,unknown,2000-01-01,4,16.0,No,No,0,-1.0,unknown
71131,Roselle,IL,US,60172,Bachelor's,sports management,2000-01-01,8,11.0,Yes,No,0,17.0,bachelor s
71360,Homer Glen,IL,US,60491,Bachelor's,mechanical engineering,2012-05-01,5,6.0,Yes,No,0,148.0,bachelor s
72056,Chicago,IL,US,60613,Bachelor's,medical billing kaplan continuing education,2000-01-01,4,20.0,No,No,0,131.0,bachelor s
74454,Litchfield,IL,US,62056,Unknown,general studies,2009-05-01,2,3.0,No,No,0,117.0,unknown
75250,Chicago,IL,US,60647,High School,not applicable,2007-06-01,2,4.0,No,No,0,0.0,high school
75632,Hazel Crest,IL,US,60429,High School,not applicable,2010-05-01,5,2.0,No,No,0,0.0,high school
76623,Elk Grove Village,IL,US,60007,High School,not applicable,1989-06-01,5,16.0,Unknown,No,0,0.0,high school
78945,East Moline,IL,US,61244,Unknown,unknown,2000-01-01,4,12.0,Yes,No,0,-1.0,unknown
79235,Crystal Lake,IL,US,60014,Bachelor's,microbiology,2000-01-01,3,6.0,Unknown,No,0,0.0,bachelor s
79717,Alton,IL,US,62002,High School,not applicable,2009-05-01,2,3.0,No,No,0,0.0,high school
84604,Downers Grove,IL,US,60516,Associate's,unknown,2000-01-01,4,13.0,Yes,No,0,-1.0,associate s
85000,South Holland,IL,US,60473,Unknown,unknown,2000-01-01,4,24.0,Yes,No,0,-1.0,unknown
91966,Bradley,IL,US,60915,High School,not applicable,2000-01-01,4,10.0,Yes,No,0,0.0,high school
92020,Lake Forest,IL,US,60045,Bachelor's,paralegal studies,2010-12-01,3,7.0,Yes,No,0,117.0,bachelor s
92299,Chicago,IL,US,60614,Bachelor's,business management,2009-12-01,4,6.0,No,No,0,21.0,bachelor s
95536,Cicero,IL,US,60804,Unknown,unknown,2000-01-01,5,22.0,No,No,0,-1.0,unknown
99661,Lansing,IL,US,60438,High School,unknown,1986-06-01,3,10.0,No,No,0,-1.0,high school
102003,Glenview,IL,US,60026,Master's,advertising,2000-01-01,6,5.0,Unknown,No,0,81.0,master s
102996,Waukegan,IL,US,60085,Bachelor's,medical assistant,2011-01-01,2,4.0,No,No,0,30.0,bachelor s
103627,Darien,IL,US,60561,Unknown,unknown,2012-04-01,6,20.0,Yes,No,0,-1.0,unknown
104210,Morris,IL,US,60450,Bachelor's,physical education,2009-01-01,8,14.0,Yes,Yes,5,131.0,bachelor s
106344,Chicago,IL,US,60633,High School,not applicable,1982-01-01,3,30.0,Unknown,No,0,0.0,high school
106385,Alden,IL,US,60001,Bachelor's,electronics and communication,2009-05-01,7,1.0,Yes,No,0,194.0,bachelor s
107829,Glenview,IL,US,60025,Bachelor's,automotive management and service,1984-12-01,1,27.0,Unknown,No,0,116.0,bachelor s
110704,Spring Grove,IL,US,60081,Bachelor's,mechanical engineering technology,1991-01-01,6,16.0,Yes,Yes,6,148.0,bachelor s
111372,Chicago,IL,US,60622,Bachelor's,finance,2003-01-01,10,9.0,Yes,No,0,79.0,bachelor s
